iter	Passed	Remaining
0	3	308
1	5	271
2	7	240
3	9	231
4	11	224
5	15	250
6	19	257
7	23	275
8	26	266
9	28	255
10	31	257
11	35	259
12	38	254
13	41	252
14	43	246
15	46	241
16	48	236
17	58	265
18	66	282
19	68	273
20	71	269
21	77	273
22	79	266
23	82	261
24	84	254
25	87	248
26	91	246
27	94	243
28	97	237
29	99	233
30	102	227
31	104	222
32	106	216
33	109	213
34	112	209
35	115	205
36	117	200
37	119	195
38	121	189
39	123	185
40	126	181
41	127	175
42	129	171
43	130	166
44	133	163
45	135	158
46	137	155
47	140	151
48	142	147
49	144	144
50	145	140
51	147	135
52	149	132
53	151	129
54	152	124
55	154	121
56	156	117
57	157	114
58	159	110
59	160	106
60	161	103
61	164	100
62	166	97
63	167	94
64	169	91
65	171	88
66	172	84
67	173	81
68	175	78
69	176	75
70	178	72
71	180	70
72	181	67
73	182	64
74	184	61
75	186	58
76	187	56
77	189	53
78	190	50
79	192	48
80	195	45
81	196	43
82	198	40
83	199	37
84	200	35
85	202	32
86	203	30
87	205	28
88	207	25
89	209	23
90	210	20
91	211	18
92	213	16
93	214	13
94	215	11
95	217	9
96	219	6
97	220	4
98	222	2
99	224	0
